,timestamp_reached,team_id,name,duration,duration_seconds
77,2022-11-23 15:28:11.346322+01:00,6,email_kathy,0 days 01:11:42.754293,4302.754293
78,2022-11-23 14:57:25.885932+01:00,7,email_kathy,0 days 00:40:57.293903,2457.293903
79,2022-11-23 15:21:31.963631+01:00,8,email_kathy,0 days 01:05:03.371602,3903.371602
80,2022-11-23 15:10:09.395314+01:00,9,email_kathy,0 days 00:53:40.803285,3220.803285
81,,1,email_lisa,,
82,2022-11-23 15:18:40.007950+01:00,2,email_lisa,0 days 01:02:11.415921,3731.415921
83,2022-11-23 15:27:08.301283+01:00,3,email_lisa,0 days 01:10:39.709254,4239.709254
84,2022-11-23 15:11:51.040170+01:00,4,email_lisa,0 days 00:55:22.448141,3322.448141
85,,5,email_lisa,,
86,2022-11-23 15:18:13.647093+01:00,6,email_lisa,0 days 01:01:45.055064,3705.055064
87,2022-11-23 14:58:11.647659+01:00,7,email_lisa,0 days 00:41:43.055630,2503.05563
88,2022-11-23 15:18:21.417694+01:00,8,email_lisa,0 days 01:01:52.825665,3712.825665
89,2022-11-23 15:15:07.918296+01:00,9,email_lisa,0 days 00:58:39.326267,3519.326267
90,,1,email_peter,,
91,2022-11-23 15:05:55.451584+01:00,2,email_peter,0 days 00:49:26.859555,2966.859555
92,2022-11-23 15:26:57.037698+01:00,3,email_peter,0 days 01:10:28.445669,4228.445669
93,2022-11-23 15:11:34.729804+01:00,4,email_peter,0 days 00:55:06.137775,3306.137775
94,2022-11-23 15:08:22.446214+01:00,5,email_peter,0 days 00:51:53.854185,3113.854185
95,2022-11-23 15:18:11.983342+01:00,6,email_peter,0 days 01:01:43.391313,3703.391313
96,2022-11-23 14:58:36.857919+01:00,7,email_peter,0 days 00:42:08.265890,2528.26589
97,2022-11-23 15:18:30.294312+01:00,8,email_peter,0 days 01:02:01.702283,3721.702283
98,2022-11-23 15:10:56.932627+01:00,9,email_peter,0 days 00:54:28.340598,3268.340598
99,,1,it_department_blocked,,
100,2022-11-23 15:07:31.603855+01:00,2,it_department_blocked,0 days 00:51:03.011826,3063.011826
101,2022-11-23 14:44:38.552944+01:00,3,it_department_blocked,0 days 00:28:09.960915,1689.960915
102,,4,it_department_blocked,,
103,,5,it_department_blocked,,
104,,6,it_department_blocked,,
105,2022-11-23 14:50:52.492993+01:00,7,it_department_blocked,0 days 00:34:23.900964,2063.900964
106,,8,it_department_blocked,,
107,2022-11-23 15:00:16.323061+01:00,9,it_department_blocked,0 days 00:43:47.731032,2627.731032
108,,1,nice-project_traffic_blocked,,
109,2022-11-23 15:03:42.367068+01:00,2,nice-project_traffic_blocked,0 days 00:47:13.775039,2833.775039
110,2022-11-23 15:02:28.738130+01:00,3,nice-project_traffic_blocked,0 days 00:46:00.146101,2760.146101
111,2022-11-23 15:02:40.048259+01:00,4,nice-project_traffic_blocked,0 days 00:46:11.456230,2771.45623
112,2022-11-23 15:31:15.428967+01:00,5,nice-project_traffic_blocked,0 days 01:14:46.836938,4486.836938
113,2022-11-23 14:45:23.505909+01:00,6,nice-project_traffic_blocked,0 days 00:28:54.913880,1734.91388
114,2022-11-23 15:05:46.206990+01:00,7,nice-project_traffic_blocked,0 days 00:49:17.614961,2957.614961
115,2022-11-23 14:43:35.416350+01:00,8,nice-project_traffic_blocked,0 days 00:27:06.824321,1626.824321
116,2022-11-23 15:21:42.650162+01:00,9,nice-project_traffic_blocked,0 days 01:05:14.058133,3914.058133
117,2022-11-23 14:44:21.547268+01:00,1,nice-project_visited,0 days 00:27:52.955239,1672.955239
118,2022-11-23 14:57:08.764314+01:00,2,nice-project_visited,0 days 00:40:40.172285,2440.172285
119,2022-11-23 14:43:26.832359+01:00,3,nice-project_visited,0 days 00:26:58.240330,1618.24033
120,2022-11-23 14:51:36.693846+01:00,4,nice-project_visited,0 days 00:35:08.101817,2108.101817
121,2022-11-23 15:28:43.766776+01:00,5,nice-project_visited,0 days 01:12:15.174747,4335.174747
122,2022-11-23 14:39:07.930922+01:00,6,nice-project_visited,0 days 00:22:39.338893,1359.338893
123,2022-11-23 14:47:08.540365+01:00,7,nice-project_visited,0 days 00:30:39.948336,1839.948336
124,2022-11-23 14:38:47.264511+01:00,8,nice-project_visited,0 days 00:22:18.672482,1338.672482
125,2022-11-23 14:38:29.929032+01:00,9,nice-project_visited,0 days 00:22:01.337003,1321.337003
