,name,avg_minutes,sd_minutes
0,email_cloud,34.610247445238095,15.101390044903265
1,email_doe,39.94844877777778,19.81683039691857
2,email_dpo,46.972260677777776,9.476047921647472
3,email_freemail,43.307797920370376,15.797163096501343
4,email_harris,46.177980925,12.790523694263564
5,email_it_department,,
6,email_jane,38.07495148333333,13.709195506195066
7,email_kathy,39.491354438095236,11.482874700369065
8,email_lisa,39.644007659523815,11.262993158839624
9,email_peter,39.879120054761906,11.2507881746721
10,flow_search_nice-project_root,26.271497628787877,13.211171477754482
11,hosts_visited_phishing_site_found,26.98931702,11.56295041990498
12,it_department_blocked,25.098938853703704,13.691998271107215
13,kathy-host_found,28.535898975,12.785279897298203
14,lisa-host_found,28.625539379166664,12.664811476061557
15,nice-project_owner_found,28.650750406666663,14.859016375849063
16,nice-project_traffic_blocked,35.336651946969695,12.161373308957932
17,nice-project_visited,15.558961031944445,7.095519516591626
18,nice-project_vm_powered_off,33.81637007222222,9.399104172634944
19,peter-host_found,32.423995938888886,12.698176931175007
20,phishing_targets_found,22.131934135185187,11.862483971444977
